[01/30/26 10:33:54] INFO     signals-bot starting                                                                                                  
                    INFO     run_id=daily_close_scan-20260130T083354Z                                                                              
                    INFO     config=/Users/talshitrit/Workspace/Personal/trading/trading-signals/config.yaml                                       
                    INFO     Universe size: 114 tickers                                                                                            
│ WAIT   │ ARDX   │          2 │
│ WAIT   │ ACRS   │          2 │
│ WAIT   │ ANGH   │          0 │
└────────┴────────┴────────────┘
[01/30/26 10:35:05] INFO     Done. Signals generated: 111                                                                                          
[01/30/26 10:43:03] INFO     signals-bot starting                                                                                                  
                    INFO     run_id=daily_close_scan-20260130T084303Z                                                                              
                    INFO     config=/Users/talshitrit/Workspace/Personal/trading/trading-signals/config.yaml                                       
                    INFO     Universe size: 114 tickers                                                                                            
[01/30/26 10:43:05] INFO     WAIT AA conf=6 score=0.059 close=$60.64 volRatio=0.89 ret5=-3.96% brkDist=9.42% atr=5.19% :: no breakout, weak        
                             momentum, low volume                                                                                                  
                    INFO     WAIT AAL conf=8 score=0.079 close=$13.51 volRatio=1.18 ret5=-10.05% brkDist=18.12% atr=4.52% :: no breakout, weak     
                             momentum, low volume                                                                                                  
[01/30/26 10:43:06] INFO     WAIT AAOI conf=20 score=0.204 close=$39.57 volRatio=1.75 ret5=3.72% brkDist=14.54% atr=9.41% :: no breakout, weak     
                             momentum, low volume                                                                                                  
[01/30/26 10:43:07] INFO     WAIT AAP conf=17 score=0.170 close=$48.12 volRatio=0.76 ret5=5.09% brkDist=4.64% atr=4.82% :: no breakout, weak       
                             momentum, low volume                                                                                                  
[01/30/26 10:43:08] INFO     WAIT AAUC conf=57 score=0.570 close=$32.01 volRatio=1.06 ret5=4.27% brkDist=-0.31% atr=3.22% :: weak momentum, low    
                             volume                                                                                                                
                    INFO     WAIT ABAT conf=6 score=0.060 close=$4.32 volRatio=0.91 ret5=-8.57% brkDist=18.95% atr=12.96% :: no breakout, weak     
                             momentum, low volume                                                                                                  
[01/30/26 10:43:09] INFO     WAIT ABCL conf=3 score=0.032 close=$3.86 volRatio=0.49 ret5=-16.81% brkDist=20.41% atr=8.22% :: no breakout, weak     
                             momentum, low volume                                                                                                  
                    INFO     WAIT ABEO conf=8 score=0.083 close=$5.08 volRatio=1.25 ret5=-5.22% brkDist=10.64% atr=5.16% :: no breakout, weak      
                             momentum, low volume                                                                                                  
[01/30/26 10:43:10] INFO     WAIT ABSI conf=7 score=0.067 close=$3.03 volRatio=1.01 ret5=-4.11% brkDist=27.08% atr=6.35% :: no breakout, weak      
                             momentum, low volume                                                                                                  
                    INFO     WAIT ABUS conf=3 score=0.029 close=$4.13 volRatio=0.43 ret5=-0.72% brkDist=18.22% atr=6.17% :: no breakout, weak      
                             momentum, low volume                                                                                                  
[01/30/26 10:43:11] INFO     WAIT ACAD conf=6 score=0.057 close=$25.70 volRatio=0.85 ret5=-6.58% brkDist=7.59% atr=3.66% :: no breakout, weak      
                             momentum, low volume                                                                                                  
[01/30/26 10:43:12] INFO     WAIT ACHC conf=6 score=0.059 close=$13.05 volRatio=0.88 ret5=-13.86% brkDist=17.35% atr=8.16% :: no breakout, weak    
                             momentum, low volume                                                                                                  
                    INFO     WAIT ACHR conf=6 score=0.058 close=$7.43 volRatio=0.86 ret5=-17.54% brkDist=20.02% atr=7.84% :: no breakout, weak     
                             momentum, low volume                                                                                                  
[01/30/26 10:43:13] INFO     WAIT ACIW conf=10 score=0.096 close=$43.20 volRatio=1.44 ret5=-1.21% brkDist=11.39% atr=3.12% :: no breakout, weak    
                             momentum, low volume                                                                                                  
                    INFO     WAIT ACLX conf=3 score=0.034 close=$68.26 volRatio=0.51 ret5=-0.52% brkDist=10.77% atr=5.01% :: no breakout, weak     
                             momentum, low volume                                                                                                  
[01/30/26 10:43:14] INFO     WAIT ACMR conf=18 score=0.176 close=$54.68 volRatio=0.71 ret5=5.83% brkDist=3.14% atr=6.05% :: no breakout, weak      
                             momentum, low volume                                                                                                  
                    INFO     WAIT ACRS conf=2 score=0.016 close=$3.43 volRatio=0.24 ret5=-24.28% brkDist=29.86% atr=13.53% :: no breakout, weak    
                             momentum, low volume                                                                                                  
[01/30/26 10:43:15] INFO     WAIT ACVA conf=5 score=0.052 close=$7.88 volRatio=0.77 ret5=-8.58% brkDist=13.12% atr=4.75% :: no breakout, weak      
                             momentum, low volume                                                                                                  
[01/30/26 10:43:16] INFO     WAIT AD conf=3 score=0.031 close=$47.38 volRatio=0.47 ret5=-21.40% brkDist=22.10% atr=6.14% :: no breakout, weak      
                             momentum, low volume                                                                                                  
                    INFO     WAIT ADEA conf=8 score=0.079 close=$18.11 volRatio=1.19 ret5=-9.04% brkDist=10.92% atr=3.96% :: no breakout, weak     
                             momentum, low volume                                                                                                  
[01/30/26 10:43:17] INFO     WAIT ADMA conf=5 score=0.046 close=$17.01 volRatio=0.70 ret5=-2.24% brkDist=11.36% atr=4.54% :: no breakout, weak     
                             momentum, low volume                                                                                                  
                    INFO     WAIT ADNT conf=4 score=0.044 close=$21.04 volRatio=0.66 ret5=-3.71% brkDist=11.45% atr=5.00% :: no breakout, weak     
                             momentum, low volume                                                                                                  
[01/30/26 10:43:18] INFO     WAIT ADPT conf=5 score=0.052 close=$18.37 volRatio=0.79 ret5=-3.62% brkDist=5.41% atr=5.70% :: no breakout, weak      
